junction,zone,hour,event_frequency,avg_duration,vehicle_types,truck_count,road_closure_count,latitude,longitude,peak_hour,event_frequency_scaled,avg_duration_scaled,peak_hour_scaled,risk_score,risk_level,recommendation,reason
GokuldasImagesJunc,West Zone 1,21.0,7,112.54093990952381,4,0,0,13.030600014285714,77.53693895714287,1,1.0,0.0023235191964562788,1.0,75.0580879799114,High,Deploy response team at 20:30,Frequent historical incidents; Peak-hour impact
SilkBoardJunc,South Zone 2,19.0,6,139.13913894444445,4,1,0,12.915524783333334,77.62377906666667,1,0.8333333333333334,0.0028726653658279547,1.0,65.07181663414569,Medium,Increase monitoring,Frequent historical incidents; Peak-hour impact; Long obstruction duration; Heavy-vehicle involvement
Devasandra(k r puram),East Zone 2,18.0,6,121.97244208055555,3,0,0,13.009719183333333,77.6964983,1,0.8333333333333334,0.0025182419023749344,1.0,65.06295604755937,Medium,Increase monitoring,Frequent historical incidents; Peak-hour impact; Long obstruction duration
BangaloreBodyBuildersJunc,Central Zone 2,21.0,6,90.72373425833332,4,1,0,12.959036216666666,77.55541025000001,1,0.8333333333333334,0.0018730813719247846,1.0,65.04682703429813,Medium,Increase monitoring,Frequent historical incidents; Peak-hour impact; Heavy-vehicle involvement
YeshwanthpuraCircle,West Zone 2,21.0,6,90.54774887222221,3,0,0,13.017538333333334,77.55626138333334,1,0.8333333333333334,0.0018694479792833718,1.0,65.0467361994821,Medium,Increase monitoring,Frequent historical incidents; Peak-hour impact
MekhriCircle,West Zone 2,9.0,5,142.37722421333334,3,0,0,13.011594339999998,77.58356314,1,0.6666666666666666,0.002939518844109496,1.0,55.07348797110273,Medium,Increase monitoring,Frequent historical incidents; Peak-hour impact; Long obstruction duration
BigBazaarJunction(OldMadrasRd),Central Zone 1,19.0,5,137.60374228333336,4,0,0,12.9913929,77.65729506,1,0.6666666666666666,0.0028409655806730183,1.0,55.07102413951682,Medium,Increase monitoring,Frequent historical incidents; Peak-hour impact; Long obstruction duration
KhodaysCircle(DV UrsCircle),Central Zone 2,21.0,4,137.7875527375,2,0,0,12.980374975,77.571849875,1,0.5,0.0028447605295965736,1.0,45.071119013239915,Medium,Increase monitoring,Recorded obstruction history; Peak-hour impact; Long obstruction duration
Deverabeesanahalli-ORR Junc,East Zone 1,20.0,4,136.63730987083332,2,0,1,12.92892525,77.682489525,1,0.5,0.0028210126260919863,1.0,45.0705253156523,Medium,Increase monitoring,Recorded obstruction history; Peak-hour impact; Long obstruction duration; Road closure history
SatteliteBusStandJunc,West Zone 2,19.0,4,90.17928500416667,4,0,0,12.95414755,77.54335285,1,0.5,0.0018618406776976925,1.0,45.04654601694244,Medium,Increase monitoring,Recorded obstruction history; Peak-hour impact
RajeshwariJunc,West Zone 1,20.0,4,89.89526479583334,3,0,1,12.936688799999999,77.5203639,1,0.5,0.001855976799123597,1.0,45.04639941997809,Medium,Increase monitoring,Recorded obstruction history; Peak-hour impact; Road closure history
GokuldasImagesJunc,West Zone 1,20.0,4,72.11720447083334,3,0,0,13.030390749999999,77.53576885,1,0.5,0.0014889311313505704,1.0,45.03722327828377,Medium,Increase monitoring,Recorded obstruction history; Peak-hour impact
toll gate mysore road,Central Zone 2,22.0,5,125.62298442333334,2,0,0,12.95734656,77.55091396,0,0.6666666666666666,0.0025936109655597607,0.0,40.06484027413899,Medium,Increase monitoring,Frequent historical incidents; Long obstruction duration
SatteliteBusStandJunc,West Zone 2,6.0,5,124.91623125666668,3,0,1,12.954429679999999,77.54398241999999,0,0.6666666666666666,0.0025790193462679155,0.0,40.06447548365669,Medium,Increase monitoring,Frequent historical incidents; Long obstruction duration; Road closure history
ShivandaCircle,Central Zone 2,22.0,5,70.04543248333333,2,0,0,12.98865094,77.58051459999999,0,0.6666666666666666,0.0014461573462061894,0.0,40.03615393365515,Medium,Increase monitoring,Frequent historical incidents
Nagavara-ORR Junction,North Zone 1,19.0,3,172.6538908611111,1,0,0,13.037390433333334,77.62733296666666,1,0.3333333333333333,0.003564610621531785,1.0,35.0891152655383,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
MekhriCircle,North Zone 2,19.0,3,164.74886734444445,1,0,0,13.015976266666668,77.58418083333333,1,0.3333333333333333,0.003401403579683906,1.0,35.085035089492095,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
HesaraghattaJunction,North Zone 2,20.0,3,158.36281440000002,1,0,0,13.045600766666666,77.50679586666666,1,0.3333333333333333,0.0032695571901128597,1.0,35.081738929752824,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
BilekahalliJunc,South Zone 2,21.0,3,142.91605150555554,2,0,0,12.898989700000001,77.6004665,1,0.3333333333333333,0.0029506434673626817,1.0,35.07376608668407,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
